fips,county,state,wholefoods,mcdonalds,walmart,target,population,starbucks,tjs,Ancestry_American_pct,Ancestry_Arab_pct,Ancestry_French_pct,Female_Adult_Population,Female_Divorced,Female_Single,Female_Widowed,In_School_pct,Graduated_College_pct,Highest_Education_Associates_Degree_pct,Highest_Education_Bachelors_Degree_pct,Highest_Education_Graduate_Degree_pct,Highest_Education_HS_Diploma_pct,Household_income_75k_100K_pct,Male_Adult_Population,Male_Divorced,Male_Single,Over_25yrs,hiv_prevalence_rate,asian_pct,native_hawaiian_other_pacific_islander_pct,obese_pct,rural_pct,Actual,Predicted,Prob0,Prob1
13067,Cobb County,Georgia,2.0,34.0,13.0,7.0,730981.0,34.0,1.0,7.4,0.5,1.9,292276.0,36584.0,88757.0,17345.0,201713.0,43.8,7.1,29.0,14.8,19.5,12.6,268799.0,21586.0,93328.0,465732.0,351.0,5.1,0.1,22.0,0.2,1,1,0.00512914932,0.99487085068
53053,Pierce County,Washington,5.0,34.0,6.0,6.0,831928.0,77.0,1.0,5.0,0.3,3.5,328936.0,48525.0,87625.0,24315.0,205088.0,24.2,10.4,15.6,8.5,29.0,14.3,318592.0,36765.0,106725.0,533690.0,150.0,6.6,1.5,31.0,6.6,1,1,0.447121891948,0.552878108052
39153,Summit County,Ohio,0.0,34.0,4.0,5.0,541943.0,21.0,0.0,7.3,1.1,1.9,231363.0,30862.0,67660.0,23306.0,139190.0,29.9,8.2,19.5,10.5,32.4,11.7,212210.0,21743.0,74814.0,372056.0,157.0,2.8,0.0,29.0,3.9,0,1,0.026967277141,0.973032722859
37119,Mecklenburg County,North Carolina,2.0,34.0,11.0,10.0,1012539.0,71.0,3.0,5.3,0.6,1.8,400805.0,48544.0,141151.0,28221.0,266681.0,41.5,7.3,28.1,13.4,19.2,12.0,363237.0,29563.0,142842.0,634860.0,626.0,5.5,0.1,24.0,1.1,1,1,0.00510750468147,0.994892495319
26049,Genesee County,Michigan,0.0,33.0,5.0,3.0,412895.0,7.0,0.0,6.8,0.9,4.3,176661.0,25549.0,54399.0,17487.0,112255.0,19.2,9.7,12.0,7.2,33.1,10.6,159250.0,19820.0,56609.0,279399.0,147.0,1.1,0.0,36.0,16.8,0,0,0.956277310731,0.0437226892688
11001,District of Columbia,District of Columbia,4.0,33.0,2.0,1.0,658893.0,88.0,2.0,2.3,0.7,1.5,288250.0,29413.0,161045.0,20404.0,160085.0,53.4,3.1,23.3,30.1,18.6,11.0,253450.0,21888.0,147672.0,442721.0,2812.0,4.0,0.2,22.0,0.0,1,1,0.00543244660536,0.994567553395
39113,Montgomery County,Ohio,1.0,32.0,5.0,3.0,533116.0,15.0,1.0,7.8,0.6,2.2,228589.0,35701.0,68083.0,24646.0,146434.0,24.8,9.4,14.9,9.9,29.3,11.1,205843.0,24942.0,73421.0,362289.0,271.0,2.1,0.0,31.0,4.3,1,1,0.00512919345298,0.994870806547
12071,Lee County,Florida,0.0,32.0,8.0,9.0,679513.0,27.0,0.0,12.7,0.3,3.0,280101.0,39274.0,64163.0,33489.0,134209.0,25.3,8.3,16.0,9.4,32.0,11.3,264863.0,32867.0,76801.0,475182.0,292.0,1.7,0.1,26.0,5.8,0,0,0.998128498812,0.00187150118817
13089,DeKalb County,Georgia,0.0,32.0,10.0,5.0,722161.0,22.0,0.0,4.4,0.5,1.2,300060.0,43308.0,119818.0,21284.0,193751.0,40.3,6.6,23.9,16.3,21.3,11.1,264601.0,25788.0,116677.0,471344.0,1248.0,5.9,0.1,27.0,0.3,0,1,0.0158424026319,0.984157597368
48215,Hidalgo County,Texas,0.0,32.0,14.0,4.0,831073.0,14.0,0.0,1.7,0.1,0.8,299658.0,24877.0,88361.0,23526.0,265253.0,16.4,4.6,11.8,4.7,23.7,9.0,275550.0,15046.0,95103.0,443037.0,169.0,1.1,0.0,37.0,5.1,0,0,0.957266512052,0.0427334879477
06013,Contra Costa County,California,3.0,32.0,7.0,7.0,1111339.0,94.0,8.0,3.4,0.7,2.1,449128.0,52295.0,126752.0,35925.0,292764.0,39.4,8.2,25.2,14.3,18.9,12.3,418219.0,33898.0,141710.0,729106.0,219.0,16.4,0.6,23.0,0.8,1,1,0.0125658011946,0.987434198805
20091,Johnson County,Kansas,3.0,31.0,14.0,7.0,574272.0,35.0,1.0,6.2,0.6,3.1,227296.0,28687.0,56026.0,15747.0,154691.0,52.1,7.4,33.2,18.9,15.4,14.4,212052.0,17682.0,60720.0,373547.0,133.0,4.7,0.0,23.0,3.8,1,1,0.00517698021303,0.994823019787
55025,Dane County,Wisconsin,5.0,31.0,5.0,3.0,516284.0,17.0,1.0,3.1,0.3,2.8,209940.0,22593.0,73745.0,12324.0,148238.0,47.6,9.6,28.1,19.4,19.4,14.0,202678.0,17136.0,80439.0,328316.0,151.0,5.6,0.1,22.0,12.3,1,1,0.00519237847022,0.99480762153
48453,Travis County,Texas,5.0,31.0,9.0,8.0,1151145.0,62.0,3.0,4.0,0.6,2.8,435264.0,55893.0,157752.0,24042.0,306832.0,45.2,5.5,28.6,16.5,17.1,12.1,438693.0,39209.0,191052.0,714301.0,458.0,6.5,0.1,20.0,5.5,1,1,0.00510120976105,0.994898790239
06077,San Joaquin County,California,0.0,31.0,6.0,6.0,715597.0,40.0,1.0,2.4,0.5,1.6,272006.0,30030.0,84564.0,23150.0,206577.0,18.1,9.1,12.4,5.7,26.2,12.1,264107.0,23119.0,99297.0,428299.0,215.0,15.9,0.7,29.0,8.5,0,0,0.998944689094,0.00105531090565
47037,Davidson County,Tennessee,1.0,31.0,11.0,6.0,668347.0,30.0,1.0,7.8,1.9,2.1,275752.0,38750.0,103858.0,21337.0,162247.0,36.5,6.0,23.0,13.5,24.2,11.2,251778.0,27180.0,105775.0,436824.0,712.0,3.4,0.1,32.0,3.4,1,1,0.00512624282465,0.994873757175
26081,Kent County,Michigan,0.0,31.0,4.0,6.0,629237.0,36.0,0.0,4.5,0.5,3.4,249331.0,28369.0,77578.0,18717.0,172320.0,32.6,8.6,21.3,11.3,26.0,13.0,234669.0,21378.0,84960.0,394991.0,162.0,2.8,0.1,29.0,15.7,0,0,0.998945508057,0.00105449194296
20173,Sedgwick County,Kansas,1.0,30.0,15.0,3.0,508803.0,22.0,0.0,9.0,0.6,2.5,199006.0,27967.0,52587.0,16588.0,142729.0,29.4,7.0,20.1,9.4,26.6,12.3,191454.0,21143.0,63083.0,320448.0,184.0,4.4,0.1,31.0,7.7,1,1,0.00539042290009,0.9946095771
09001,Fairfield County,Connecticut,5.0,30.0,7.0,3.0,945438.0,38.0,5.0,4.4,0.7,2.5,389439.0,43153.0,115688.0,33943.0,254087.0,45.4,5.8,25.5,20.0,22.5,11.6,360329.0,27191.0,126597.0,630525.0,345.0,5.5,0.1,21.0,4.6,1,1,0.00509648716117,0.994903512839
12009,Brevard County,Florida,0.0,30.0,10.0,6.0,556885.0,18.0,0.0,11.3,0.4,3.6,239119.0,36909.0,52511.0,29781.0,120193.0,26.7,10.8,16.6,10.0,29.6,11.6,224716.0,29613.0,67635.0,400434.0,253.0,2.4,0.1,27.0,5.1,0,1,0.0273897101937,0.972610289806
25009,Essex County,Massachusetts,3.0,30.0,5.0,6.0,769091.0,20.0,2.0,4.6,1.1,7.3,325324.0,37653.0,98691.0,30647.0,194703.0,37.2,8.3,22.2,15.1,26.2,12.7,293039.0,24026.0,105344.0,517701.0,252.0,3.8,0.1,24.0,4.2,1,1,0.00538520945387,0.994614790546
53061,Snohomish County,Washington,5.0,30.0,8.0,4.0,759583.0,90.0,2.0,4.7,0.6,3.3,296274.0,42141.0,74025.0,20928.0,182923.0,29.3,10.7,20.5,8.8,24.2,15.5,295106.0,31776.0,97771.0,496765.0,113.0,10.2,0.5,29.0,10.8,1,1,0.189084803995,0.810915196005
35001,Bernalillo County,New Mexico,2.0,30.0,12.0,4.0,675551.0,36.0,2.0,3.9,0.6,2.0,277712.0,43227.0,88168.0,22962.0,186321.0,32.3,7.6,17.9,14.4,23.6,11.8,262038.0,31321.0,100268.0,446795.0,197.0,2.7,0.2,20.0,4.2,1,1,0.005115859386,0.994884140614
36055,Monroe County,New York,0.0,30.0,7.0,5.0,749857.0,19.0,1.0,4.2,0.5,2.7,321090.0,35255.0,111631.0,30388.0,202424.0,35.9,11.7,20.0,15.9,24.8,12.6,292914.0,24824.0,117610.0,500461.0,339.0,3.6,0.1,27.0,6.4,0,0,0.925521430883,0.0744785691174
22033,East Baton Rouge Parish,Louisiana,1.0,30.0,11.0,2.0,446042.0,10.0,1.0,8.5,0.6,9.6,188839.0,24179.0,72252.0,16898.0,132411.0,34.1,5.0,21.7,12.4,26.2,11.3,169279.0,16308.0,73735.0,276391.0,934.0,3.3,0.0,32.0,6.9,1,1,0.0051286402682,0.994871359732
51087,Henrico County,Virginia,5.0,29.0,4.0,3.0,321924.0,21.0,1.0,6.6,1.3,1.7,136088.0,18585.0,41172.0,12571.0,81603.0,39.7,6.6,24.8,14.9,23.0,13.2,116731.0,10227.0,39945.0,214132.0,288.0,7.9,0.1,28.0,4.3,1,1,0.0202996840523,0.979700315948
01097,Mobile County,Alabama,1.0,29.0,9.0,1.0,415123.0,10.0,0.0,10.8,0.4,3.5,174444.0,23910.0,50759.0,18518.0,107347.0,21.4,7.6,14.0,7.4,32.8,10.8,155782.0,18577.0,53961.0,271571.0,531.0,2.0,0.1,36.0,20.0,1,1,0.00512592870318,0.994874071297
08031,Denver County,Colorado,4.0,29.0,6.0,2.0,663862.0,75.0,3.0,3.3,0.5,2.4,259788.0,37346.0,99153.0,17105.0,152164.0,43.7,5.2,26.6,17.1,18.1,11.7,257732.0,28868.0,116098.0,441119.0,1207.0,3.8,0.2,17.0,0.0,1,1,0.00510725239052,0.994892747609
08041,El Paso County,Colorado,2.0,28.0,11.0,5.0,663519.0,49.0,1.0,6.0,0.5,3.2,254342.0,36163.0,61221.0,16287.0,189209.0,35.2,11.0,21.5,13.7,21.1,13.1,253508.0,24535.0,83027.0,407656.0,151.0,3.0,0.4,21.0,8.9,1,1,0.00511598178019,0.99488401822
06111,Ventura County,California,1.0,28.0,9.0,7.0,846178.0,66.0,6.0,3.6,0.7,2.4,337712.0,40726.0,96739.0,26457.0,230557.0,31.6,8.8,19.9,11.7,19.0,14.3,327483.0,27409.0,118122.0,544266.0,128.0,7.5,0.3,21.0,3.1,1,1,0.00657387144658,0.993426128553
